Year,Region,Climate_Condition,Average_Temperature_C,CO2_Emissions_Tons,Traffic_Density_VehiclesPerKm2,Population_Density_PeoplePerKm2,Urbanization_Rate_Percent,Green_Cover_Percent,Climate_Change_Index
2001,South America,Cold,34.41,859643472.65,5791.68,2024.98,48.43,6.1,0.5219
2021,South America,Tropical,-0.04,710075265.17,3455.54,4303.16,56.14,38.94,0.8174
2002,Africa,Tropical,4.21,482743005.11,884.54,4945.49,23.22,26.79,0.2064
2015,North America,Polar,4.45,520803302.57,9928.4,561.62,59.59,5.09,0.5274
2008,Europe,Temperate,8.85,975269290.75,1315.47,9546.83,23.02,25.02,0.204
2003,North America,Arid,9.67,965804673.44,769.87,1294.49,65.01,23.11,0.1207
2000,Europe,Temperate,17.23,216053776.74,8791.38,6977.64,93.99,30.57,0.511
2003,Europe,Polar,-2.01,811293461.74,3053.25,5067.25,27.61,13.57,0.0791
2000,North America,Arid,24.56,198045423.5,6520.45,266.07,78.81,38.0,0.5874
2013,South America,Temperate,-1.62,214323940.41,3323.61,9248.23,12.12,50.01,0.0313
2020,Europe,Arid,5.52,676416941.13,3944.97,8519.85,43.79,45.96,0.1067
2015,North America,Tropical,15.17,405596097.49,2658.02,5247.34,19.97,57.24,0.55
2019,Europe,Temperate,29.82,931612862.7,3463.29,2297.13,41.72,34.38,0.5914
2023,Asia,Arid,26.97,89920725.16,4136.47,1225.01,25.62,38.74,0.029
2007,South America,Arid,22.28,512014115.17,7218.14,3640.29,43.6,57.68,0.5734
2006,Africa,Arid,-2.21,918603008.91,5139.79,2561.73,47.58,32.8,0.8385
2002,Europe,Temperate,17.35,904209546.82,9438.47,5071.85,37.05,50.6,0.7223
2016,Asia,Cold,-5.63,157372684.2,466.71,9664.43,69.1,33.25,0.1312
2000,Africa,Temperate,8.87,367271062.4,5055.53,5753.79,92.7,32.15,0.5925
2015,Africa,Polar,10.68,619502278.65,5863.04,8900.41,46.05,54.41,0.6723
2011,Europe,Temperate,-8.01,160235489.89,9205.96,6512.28,27.31,16.36,0.0372
2018,North America,Arid,3.7,968054149.87,539.13,4757.71,34.37,27.01,0.8553
2021,Europe,Tropical,37.78,914834579.4,5756.32,8547.53,86.86,19.57,0.9063
2022,Asia,Temperate,37.68,167783228.86,8543.62,4718.97,61.45,28.34,0.8505
2021,Africa,Temperate,7.62,122034305.8,2457.18,8687.6,50.95,19.97,0.8246
2013,Europe,Arid,-7.84,86323074.33,8769.11,2922.85,23.47,42.66,0.745
2005,North America,Tropical,-1.05,909534220.37,239.48,1296.84,50.48,56.88,0.6334
2005,Europe,Tropical,9.61,194430185.99,7337.92,8554.59,35.06,56.13,0.6786
2012,South America,Polar,37.39,416868643.62,9334.48,5878.28,94.88,28.69,0.8064
2018,North America,Temperate,-2.94,449402514.29,6589.12,8892.03,89.57,69.27,0.6625
2021,Asia,Tropical,28.18,599412033.17,4418.34,9378.89,17.55,43.6,0.3277
2007,Africa,Tropical,-4.57,72663608.4,496.57,545.75,56.5,30.96,0.376
2001,Europe,Cold,39.06,227531858.78,9205.13,5014.68,30.26,59.31,0.8971
2020,North America,Cold,9.08,931558896.53,4729.45,3755.9,46.97,52.44,0.0171
2000,South America,Tropical,28.76,908501697.16,338.52,6262.33,88.92,53.7,0.6988
2014,North America,Polar,7.13,781509356.76,6913.72,7937.98,57.48,17.75,0.9548
2000,South America,Tropical,21.38,20381844.37,4844.28,2813.1,40.08,35.44,0.7062
2004,Asia,Arid,-0.4,327679761.73,1287.24,5572.42,28.71,61.02,0.9939
2015,Africa,Temperate,-2.7,628330776.61,2182.0,7090.2,82.03,37.76,0.6875
2018,Asia,Polar,36.9,275915021.56,691.68,1352.97,66.21,49.42,0.0344
2003,Europe,Arid,35.88,909677108.36,5764.22,8142.53,52.13,43.22,0.827
2002,North America,Polar,34.37,634255572.37,6239.19,6065.03,29.57,59.75,0.2846
2016,South America,Arid,21.27,72834810.6,5082.14,9495.88,40.08,23.5,0.4461
2016,South America,Temperate,30.41,909096583.25,8180.17,3401.89,96.39,42.41,0.3121
2011,North America,Temperate,-6.55,957808891.52,8617.04,1090.38,56.81,13.01,0.2686
2013,North America,Cold,6.74,78634705.97,6175.46,5069.95,46.06,49.86,0.4314
2020,Europe,Arid,5.69,532827874.63,176.93,867.25,56.93,52.58,0.3788
2005,Asia,Cold,21.78,304060917.93,6967.54,9695.57,80.11,7.78,0.6333
2002,South America,Arid,7.8,393446237.4,4209.09,396.46,40.61,48.93,0.8132
2008,Europe,Cold,-2.57,180471566.74,5677.3,7537.5,26.08,31.95,0.2971
2004,Asia,Temperate,19.82,578494029.91,6508.35,5255.77,62.64,13.07,0.2137
2023,Europe,Polar,30.72,958021373.9,3534.85,3692.52,69.87,32.29,0.6669
2016,South America,Cold,9.11,503569527.67,9175.13,667.76,74.14,17.63,0.6703
2013,North America,Arid,-3.39,83831666.81,1383.05,6225.45,89.38,32.01,0.9011
2020,North America,Arid,-0.17,620381332.14,6731.54,5856.35,43.41,29.98,0.0159
2002,Asia,Temperate,1.87,340882771.46,93.38,2816.02,16.78,53.0,0.853
2000,Africa,Arid,4.99,856069264.4,9250.28,9103.11,96.25,55.32,0.521
2019,Asia,Tropical,22.14,435243470.17,1169.42,3048.06,49.15,44.46,0.6213
2020,Africa,Polar,20.05,193646769.33,994.1,4502.76,66.09,6.47,0.0914
2022,Europe,Cold,24.8,191914517.07,3363.43,5442.19,69.97,65.52,0.4326
2000,Europe,Polar,8.13,768995416.54,3766.98,1011.32,59.19,49.61,0.2273
2002,South America,Temperate,31.2,266322010.71,2182.29,9322.3,28.47,7.22,0.2542
2017,Africa,Cold,0.2,767466160.77,5871.96,3751.62,77.96,58.22,0.5041
2024,South America,Cold,13.45,206681423.46,4457.0,816.98,82.34,18.02,0.8125
2009,North America,Tropical,30.05,322364682.33,390.05,3879.04,59.77,42.65,0.7438
2021,Africa,Temperate,-0.99,466021485.47,3230.54,6006.02,53.97,35.33,0.591
2002,Asia,Arid,-4.51,943252653.84,8113.81,5141.39,20.25,32.29,0.5394
2007,North America,Tropical,34.18,931799693.33,6912.53,6948.47,17.56,62.83,0.4273
2013,North America,Tropical,7.15,207665003.55,7262.46,564.28,40.56,33.43,0.9727
2023,Asia,Polar,24.19,358860822.2,6996.26,2852.56,37.98,9.9,0.5602
2017,North America,Polar,-8.73,150249989.07,3144.18,8194.11,95.83,66.53,0.254
2014,Africa,Polar,24.5,510475094.23,1041.66,808.14,80.53,64.83,0.2301
2021,South America,Tropical,5.81,461121968.14,2761.05,8556.3,69.39,49.49,0.6114
2022,North America,Arid,-7.21,900859402.29,8326.26,928.04,56.59,35.41,0.5228
2001,Africa,Cold,20.49,930075372.41,9805.68,8346.2,25.06,11.04,0.0077
2009,Europe,Polar,2.04,384183823.62,4963.78,3614.28,98.06,56.4,0.8301
2001,Africa,Arid,9.34,492246205.08,146.52,6125.97,43.75,9.91,0.7041
2016,South America,Temperate,-5.97,896340012.9,1443.45,1537.34,19.62,9.46,0.6618
2007,Africa,Polar,-2.64,806901099.94,3254.7,671.03,54.44,39.93,0.0688
2000,Asia,Cold,4.9,4652655.03,5806.92,2167.22,88.66,15.41,0.3621
2008,South America,Temperate,-5.51,320739504.62,797.18,1287.26,89.86,5.5,0.9354
2010,Europe,Temperate,35.54,422352467.69,9436.41,3130.93,10.99,32.5,0.8626
2021,Asia,Cold,-9.7,230486567.4,3682.58,5148.69,89.77,13.92,0.2855
2015,Africa,Polar,14.19,200372044.28,9130.21,5891.71,34.43,15.43,0.1571
2006,South America,Tropical,-3.84,38746722.09,7816.19,7900.78,13.51,10.0,0.4491
2009,Europe,Cold,5.38,643726355.34,7566.6,6565.84,86.3,18.33,0.3558
2022,Asia,Cold,36.3,263247780.19,6086.86,6091.5,87.75,51.51,0.6822
2002,Europe,Cold,-1.92,53294831.25,6286.5,4123.7,63.66,57.58,0.9664
2017,Africa,Temperate,38.29,231748331.22,6398.13,4743.35,61.7,34.41,0.363
2024,Europe,Arid,0.29,802112038.88,6305.78,4151.06,83.18,37.93,0.0622
2023,North America,Tropical,27.08,851637692.46,5559.6,8423.24,80.77,7.12,0.8976
2012,Asia,Polar,17.33,483583178.95,9864.82,2307.7,90.11,9.51,0.0379
2006,Europe,Polar,34.22,416654599.74,7336.29,67.15,59.75,21.74,0.9528
2024,Africa,Arid,17.7,977875839.81,7780.62,6516.69,97.09,40.35,0.6646
2003,Africa,Cold,16.73,201364094.93,8731.01,2032.6,99.65,53.07,0.9417
2012,Europe,Tropical,-0.23,216143923.57,2195.62,8902.25,20.49,44.33,0.1997
2019,Africa,Polar,-1.69,292575309.86,883.85,8591.87,86.46,30.49,0.0407
2000,South America,Polar,35.82,173584560.96,4854.8,776.51,54.98,12.69,0.4882
2007,South America,Cold,6.39,379986232.61,5165.1,1072.82,44.88,55.75,0.4506
2013,South America,Arid,8.6,910923392.76,8300.36,4956.76,65.18,28.65,0.3315
2015,North America,Tropical,27.99,615732492.79,4465.65,6096.13,15.04,52.84,0.9577
2013,Europe,Arid,6.94,412534602.06,5729.99,2756.33,55.58,38.34,0.8226
2011,North America,Arid,37.6,934476383.78,5294.36,7170.81,88.38,53.01,0.6616
2018,Africa,Tropical,26.9,49415768.24,430.12,5953.21,29.21,63.97,0.1629
2022,North America,Tropical,19.87,211065901.72,6171.39,3254.99,48.38,64.87,0.7343
2014,Africa,Polar,34.04,566322716.5,8289.03,263.46,94.55,39.78,0.727
2001,Africa,Polar,-7.52,615937070.57,1617.13,7504.0,48.57,38.25,0.4251
2001,Asia,Tropical,2.85,40517949.06,5963.6,2155.39,42.25,22.27,0.9248
2022,South America,Temperate,13.25,403635719.15,5956.42,8346.39,49.65,65.83,0.167
2021,Africa,Polar,1.35,649504810.87,1683.64,4208.7,56.75,34.76,0.2673
2018,Asia,Temperate,27.2,698372475.86,1278.46,5775.0,66.88,13.29,0.0632
2024,South America,Tropical,35.96,638501762.61,9801.52,8730.76,82.06,33.13,0.7955
2021,Africa,Polar,11.19,321242661.14,3967.51,8637.59,50.69,13.26,0.6218
2021,Africa,Arid,7.11,94426603.47,2312.85,3721.48,83.57,37.66,0.3149
2016,North America,Tropical,38.08,427685333.97,1754.68,2096.8,58.03,41.48,0.1638
2019,North America,Cold,12.24,129625682.93,6692.64,7753.71,40.46,26.95,0.0401
2009,South America,Temperate,14.45,947676034.86,6113.98,4336.47,69.22,9.66,0.1667
2005,Africa,Tropical,7.58,475695695.16,6453.34,1928.5,74.6,66.33,0.4533
2014,Europe,Tropical,35.48,317941915.18,925.66,9045.21,60.22,55.27,0.2472
2021,North America,Polar,18.45,766537767.05,8940.67,1989.06,15.1,59.53,0.259
2010,South America,Polar,28.11,498450643.99,3923.2,267.81,25.29,28.85,0.8756
2004,Africa,Polar,30.59,310723989.99,3168.03,212.6,35.68,54.45,0.5151
2000,Africa,Cold,7.09,812155774.65,4650.5,6226.93,35.44,36.55,0.7293
2007,Europe,Polar,11.68,867284998.85,3931.16,6620.13,70.61,18.07,0.0357
2020,South America,Tropical,32.42,673335158.12,8642.59,3117.31,11.65,13.09,0.3652
2011,Africa,Polar,8.16,47917457.99,9296.15,3206.91,78.01,27.43,0.4792
2011,North America,Arid,29.7,566756557.29,3069.36,3401.54,33.88,13.94,0.1864
2004,Europe,Polar,37.05,763531617.09,8646.16,6804.78,37.9,69.89,0.1202
2006,South America,Cold,21.16,137366509.07,7826.16,590.76,57.51,8.2,0.8703
2003,Europe,Arid,27.08,229442080.63,9311.54,9291.87,29.43,33.67,0.9394
2005,North America,Tropical,30.25,882612609.96,2495.22,2232.99,89.6,34.39,0.0788
2012,South America,Tropical,32.25,21101600.13,5790.74,9996.74,17.68,24.54,0.349
2019,Europe,Temperate,9.75,752974410.69,2781.72,1723.51,49.99,42.14,0.9583
2014,Asia,Arid,-7.44,474299519.22,8249.74,7717.75,86.45,14.75,0.0832
2002,North America,Temperate,10.09,447325386.68,102.98,2241.89,65.43,55.95,0.6436
2022,North America,Arid,23.69,8089435.96,5669.95,817.66,36.31,26.61,0.9722
2007,North America,Arid,12.52,819578832.74,3425.07,8750.58,47.87,43.44,0.9782
2019,Asia,Cold,27.45,360465075.74,3260.7,8588.93,73.6,51.52,0.4712
2015,Asia,Temperate,7.85,541224865.67,6466.82,4041.67,97.59,62.79,0.1627
2012,Africa,Cold,21.74,677623385.65,8522.27,7026.94,90.38,59.33,0.2021
2017,Europe,Arid,-0.68,702926946.86,6111.49,5575.09,40.82,44.54,0.8896
2009,Africa,Tropical,27.47,956024078.77,8539.07,8531.03,99.84,30.25,0.9117
2018,Europe,Arid,17.28,531808613.28,2682.74,3157.41,10.32,37.71,0.6079
2016,Asia,Cold,0.2,400319831.42,5219.04,5241.49,12.49,54.97,0.7662
2023,Asia,Temperate,4.6,953749922.87,4532.84,4858.87,84.15,62.04,0.7399
2018,Africa,Temperate,27.43,642468124.79,165.87,3545.52,27.95,11.75,0.6618
2022,South America,Cold,14.13,298852205.92,5590.28,8915.64,15.47,30.02,0.8273
2004,Africa,Temperate,0.8,127337781.16,6632.17,1667.12,31.34,55.45,0.6854
2020,Europe,Polar,38.36,842711946.96,5939.55,1503.59,48.35,33.06,0.534
2022,Africa,Tropical,25.76,362819421.19,7375.98,5773.33,75.75,26.59,0.237
2008,North America,Tropical,37.86,660809251.64,5734.83,6578.37,66.19,31.74,0.7439
2011,Europe,Tropical,11.36,471345602.95,714.17,1954.25,31.39,44.18,0.4734
2020,Europe,Temperate,13.76,199730850.02,1208.63,3913.27,55.29,69.99,0.2948
2000,South America,Temperate,34.9,602084922.01,5984.92,9466.17,93.36,37.04,0.8019
2000,Asia,Arid,16.25,61622385.88,2786.04,2473.71,83.35,18.55,0.6967
2014,Europe,Arid,25.36,413929117.41,842.47,6686.92,39.09,15.59,0.9373
2001,Asia,Tropical,2.61,547068324.72,4324.55,7404.09,98.4,7.75,0.1654
2021,Africa,Polar,12.34,436610927.14,5565.51,4486.81,73.78,41.32,0.6492
2015,North America,Arid,-3.83,748923503.08,3321.02,9375.88,15.62,40.4,0.2442
2024,South America,Arid,0.3,828097029.59,7218.32,7369.2,13.16,18.34,0.9036
2007,Asia,Temperate,-9.95,771471830.96,6455.52,4584.67,25.16,50.2,0.0995
2012,Europe,Polar,-8.04,39774134.86,3361.54,5697.66,75.51,53.17,0.6562
2020,Asia,Tropical,38.86,194934641.68,7560.98,6929.21,26.54,21.84,0.7911
2000,Europe,Arid,2.12,537070901.75,6504.52,5925.98,56.03,27.37,0.3549
2015,Asia,Polar,23.17,934887218.4,6392.58,8788.19,18.39,69.38,0.9541
2006,Europe,Polar,31.95,835121818.28,5556.61,3575.32,92.88,29.33,0.8507
2004,Africa,Tropical,17.53,842691973.84,163.33,3005.86,40.96,54.45,0.2946
2021,Europe,Polar,-2.34,303904985.57,6980.25,2146.25,91.73,34.43,0.0075
2022,Europe,Polar,26.41,430018449.18,3791.62,387.45,95.04,56.57,0.2967
2002,North America,Polar,20.01,471235241.37,9428.97,439.71,10.55,54.99,0.2813
2011,Europe,Arid,26.56,158214211.77,8188.95,8701.85,51.77,48.4,0.89
2015,North America,Tropical,28.49,32037062.11,5897.56,6787.15,12.22,60.56,0.9671
2018,South America,Polar,38.77,946955996.56,2559.21,6608.72,91.78,66.05,0.0704
2004,North America,Polar,18.68,241471873.08,2076.99,6150.28,56.66,42.7,0.4713
2021,Africa,Arid,7.08,240708954.82,3436.83,8493.7,16.74,20.44,0.5483
2024,North America,Tropical,22.42,84295674.71,4791.85,4807.87,19.92,30.91,0.0929
2013,South America,Temperate,-6.58,928579244.19,2995.85,8705.4,44.52,54.29,0.3775
2004,Africa,Arid,34.87,580157377.82,5173.55,3600.86,94.62,47.31,0.3171
2014,Asia,Tropical,-4.03,667369820.27,1695.44,9267.81,72.36,16.56,0.5361
2016,Asia,Polar,6.39,911665310.38,9778.24,6989.58,88.09,8.33,0.6612
2013,North America,Tropical,30.79,346274548.73,1123.85,2579.2,42.98,49.39,0.7035
2019,North America,Tropical,19.87,621885803.83,9322.84,5645.21,13.89,21.32,0.1368
2004,South America,Tropical,9.68,39760655.27,9140.1,5334.98,97.69,37.48,0.8129
2011,South America,Temperate,13.67,187585755.7,5277.34,1387.61,11.55,53.54,0.6785
2015,Europe,Tropical,32.73,831414559.28,7262.86,5916.52,95.29,41.57,0.8891
2015,South America,Temperate,7.0,767001587.98,4388.68,3154.71,43.18,10.41,0.4493
2020,Europe,Polar,33.48,351292048.77,6318.84,532.96,10.91,17.06,0.8939
2006,Africa,Temperate,-5.59,377433817.15,3438.73,9487.08,72.02,19.26,0.8658
2003,North America,Polar,28.84,534020879.12,3046.53,6418.49,98.25,21.76,0.4384
2000,Africa,Polar,32.38,1240763.68,5803.39,8770.42,96.91,41.75,0.3811
2004,South America,Temperate,-0.91,242003091.7,5006.39,6763.8,24.48,37.76,0.9328
2022,Africa,Arid,11.52,209023576.8,5816.39,3576.27,26.31,18.21,0.7152
2009,Africa,Cold,-1.73,251232463.8,2902.27,5131.75,60.9,9.39,0.9282
2021,Africa,Tropical,25.33,806099936.69,3701.23,6760.71,67.36,16.14,0.797
2004,South America,Cold,16.77,280394182.69,884.78,9602.92,76.55,68.98,0.6093
2003,Africa,Tropical,21.77,192329800.73,570.15,2544.16,26.29,35.46,0.1159
2001,Europe,Tropical,-0.18,504759197.33,2571.9,8751.02,96.31,61.38,0.2915
2019,South America,Polar,0.59,865779391.34,788.76,9241.54,67.49,60.17,0.9688
2009,Africa,Tropical,-7.93,242108354.13,1082.56,6707.45,86.23,38.25,0.3194
2018,South America,Tropical,6.1,79457706.55,8138.64,9313.35,58.61,50.93,0.0933
2000,Asia,Temperate,17.99,357048331.11,436.79,3984.81,47.28,17.53,0.7076
2023,Europe,Cold,32.9,747904172.74,6606.48,9530.63,97.95,49.75,0.734
2004,Africa,Temperate,23.35,551139854.15,2761.95,7030.8,62.39,22.7,0.2855
2012,Asia,Tropical,11.77,816976576.2,8721.88,429.64,88.02,59.08,0.2977
2003,Asia,Polar,37.66,959632555.46,4875.67,9069.66,95.8,10.44,0.4689
2015,South America,Temperate,25.96,792869814.27,3090.49,4849.88,70.78,55.25,0.0218
2023,Asia,Temperate,36.51,604199275.76,5200.51,4608.67,59.4,11.5,0.7893
2015,Europe,Arid,16.38,493848246.46,3850.48,5669.0,10.32,62.28,0.3171
2022,Europe,Tropical,2.95,41029017.26,5664.8,1502.35,13.6,24.77,0.8538
2001,North America,Polar,-7.36,984337656.84,1189.6,4696.97,28.08,47.54,0.8026
2016,Europe,Temperate,26.3,384097641.45,9970.06,8312.96,26.74,36.69,0.6614
2019,Asia,Temperate,-3.93,153075985.7,4284.28,164.67,32.93,28.81,0.3249
2023,Europe,Polar,5.14,667042146.54,3514.89,2736.44,37.44,46.95,0.5163
2011,South America,Tropical,16.62,285004000.81,7116.59,34.52,42.41,66.59,0.4448
2017,North America,Arid,18.22,586192492.66,3670.8,4162.96,47.85,7.68,0.3389
2002,Asia,Temperate,20.03,587181139.94,8341.08,7285.87,18.9,64.73,0.8481
2000,North America,Arid,-1.69,446284091.08,4569.99,7989.73,13.81,44.59,0.4835
2000,Asia,Cold,8.99,836282496.93,7209.61,9452.45,70.66,57.48,0.8327
2018,South America,Tropical,20.86,265702094.49,1119.16,6088.96,58.36,29.95,0.1052
2010,North America,Cold,38.49,449183959.03,8468.89,2553.72,49.97,35.67,0.141
2004,Africa,Cold,26.38,538154436.46,7370.39,9242.24,67.1,61.48,0.9773
2011,Asia,Cold,36.13,663961096.05,2156.58,7755.4,84.49,31.97,0.5878
2002,Africa,Tropical,28.11,784187878.66,1495.6,5748.54,48.49,39.75,0.5098
2000,North America,Tropical,19.59,395412475.6,3197.11,6959.45,67.7,6.31,0.5232
2000,Africa,Polar,-0.4,646400897.15,9761.9,9243.92,95.82,15.31,0.2153
2007,Africa,Arid,23.33,151460342.12,2605.47,7126.82,85.57,46.71,0.7187
2009,North America,Arid,21.17,932715452.44,4588.47,3690.06,48.34,51.6,0.0848
2010,South America,Polar,20.12,383675747.61,348.7,7133.15,68.02,42.87,0.5733
2011,Africa,Polar,14.49,729791900.55,4002.41,412.38,25.94,14.32,0.5708
2012,Africa,Cold,16.43,21320740.8,5734.63,3870.29,60.45,33.95,0.9142
2011,South America,Polar,6.72,205981955.76,9533.59,4069.17,98.32,28.08,0.5262
2013,Africa,Temperate,15.97,487595461.78,5191.52,1676.71,56.65,37.22,0.1371
2001,Africa,Arid,-0.12,878374215.26,8200.12,240.62,93.49,61.57,0.5728
2018,Africa,Polar,30.26,527727894.8,5493.92,1342.48,46.66,55.43,0.0913
2017,Europe,Temperate,-0.71,929940611.81,455.81,6549.67,99.9,10.46,0.2038
2002,South America,Temperate,-5.75,484313099.69,3184.33,8024.87,62.13,62.87,0.0311
2022,Africa,Temperate,11.81,490958647.64,5776.72,9882.15,13.8,35.66,0.5133
2016,South America,Temperate,22.92,120627041.71,9508.41,3470.17,62.81,53.35,0.0845
2007,Asia,Cold,11.89,802853587.91,8598.35,5997.8,34.71,14.1,0.4694
2009,Asia,Temperate,3.84,247718447.05,2322.14,9372.08,12.92,48.6,0.9329
2001,Africa,Cold,17.91,899712876.88,2240.09,1678.75,83.88,20.36,0.7198
2018,South America,Cold,7.35,910913396.11,2051.67,7179.28,34.82,33.49,0.0774
2008,South America,Temperate,36.64,943366801.76,9228.86,7552.24,81.69,6.1,0.2242
2006,South America,Arid,36.13,520710258.61,8534.03,898.87,35.94,14.85,0.6737
2003,Europe,Temperate,15.12,677416691.0,7760.09,8613.88,27.49,10.99,0.8947
2020,Asia,Temperate,6.39,778737364.18,3957.71,8132.92,97.65,20.58,0.0329
2017,South America,Temperate,26.86,131883604.03,5068.59,343.7,42.55,11.5,0.8125
2012,South America,Arid,-8.16,601356237.8,4670.1,919.93,64.12,49.97,0.5618
2010,Europe,Tropical,13.74,35263603.4,2571.31,500.78,64.9,6.89,0.5461
2023,Europe,Tropical,6.82,498068517.31,5075.03,3354.09,60.44,45.15,0.9578
2003,South America,Cold,36.03,155687838.94,353.44,5097.8,92.32,14.15,0.7476
2024,North America,Cold,-9.4,183740003.04,1361.51,5328.15,70.7,66.44,0.8501
2020,South America,Arid,17.64,365682519.13,8871.57,2683.99,46.34,65.65,0.354
2024,South America,Polar,27.03,433004729.55,7529.21,9116.85,87.61,19.66,0.5544
2003,Europe,Tropical,14.25,623549252.11,4257.54,3688.95,26.3,44.94,0.6154
2009,Europe,Cold,-5.73,75353990.02,5195.65,465.05,58.98,6.82,0.3216
2004,South America,Tropical,38.62,504188069.48,3731.49,3009.27,95.55,65.57,0.5702
2008,South America,Arid,15.9,183442505.12,7420.76,5315.78,66.29,38.99,0.2367
2023,South America,Arid,20.71,574401199.86,7852.66,4088.14,83.53,7.81,0.1434
2002,Europe,Polar,1.83,637767207.65,7644.69,2745.69,68.82,27.26,0.374
2016,South America,Polar,14.17,557152547.3,7239.99,1321.92,85.54,10.0,0.7393
2002,South America,Arid,11.46,738557214.97,2084.82,8193.45,95.0,30.54,0.9162
2015,Africa,Cold,-6.26,336273635.0,3412.8,9961.49,34.56,48.55,0.4577
2003,North America,Tropical,-4.69,765341485.04,4724.96,3302.13,25.27,35.54,0.6428
2017,Asia,Temperate,31.87,433334314.63,3341.39,3822.39,53.56,29.94,0.103
2016,North America,Polar,1.99,484700313.82,7561.65,6184.19,73.17,12.75,0.9045
2006,Africa,Temperate,-0.25,648454025.13,3327.07,7187.23,30.45,20.92,0.5686
2023,Asia,Cold,15.25,19340025.62,1425.41,3926.38,10.37,11.51,0.7803
2022,South America,Polar,28.44,654340227.2,4020.45,9050.25,40.86,57.49,0.7944
2004,Africa,Temperate,-6.9,618966563.92,9800.15,5604.44,97.2,13.79,0.2565
2011,South America,Cold,18.84,310537269.64,2297.52,4509.4,72.55,43.7,0.5292
2016,Europe,Tropical,-4.04,86708490.61,6140.98,6470.26,46.12,27.28,0.9605
2022,Africa,Cold,-8.18,91844514.46,4358.08,9528.51,27.33,19.69,0.0896
2012,Europe,Polar,-7.36,923300523.24,756.69,7947.58,42.05,46.57,0.683
2022,Africa,Arid,31.71,689590041.9,4904.37,409.73,25.29,34.71,0.9623
2024,Africa,Tropical,-4.1,127975511.16,7036.54,3329.78,19.57,31.01,0.3006
2002,Europe,Temperate,-7.74,357366446.14,5156.54,4710.74,91.61,43.54,0.8614
2008,Asia,Polar,11.89,592890510.91,8727.46,3152.03,99.79,36.93,0.9337
2016,North America,Arid,32.2,835736133.39,2924.92,7004.87,24.77,24.73,0.7471
2016,South America,Cold,3.12,44617267.78,908.18,8264.43,14.91,41.34,0.2313
2019,Africa,Arid,11.09,237396498.34,9368.83,7316.14,39.68,48.52,0.334
2015,South America,Polar,-8.0,889859241.31,3813.05,9893.44,51.55,6.74,0.0358
2024,Europe,Polar,12.45,10156384.63,5785.24,2732.75,28.43,35.28,0.8315
2021,South America,Arid,18.88,202197703.69,7930.43,8751.15,37.13,8.75,0.8496
2012,Europe,Cold,18.55,959065151.8,3276.92,7668.56,28.08,17.12,0.6327
2018,South America,Arid,6.62,613788444.68,7175.84,3628.17,79.68,41.43,0.3525
2016,North America,Polar,5.78,262409695.27,1397.42,7343.9,74.13,61.3,0.0768
2003,North America,Polar,-4.67,67924103.3,2948.37,1049.72,67.15,62.38,0.7531
2011,North America,Temperate,8.34,29163149.11,1489.87,7895.44,44.85,9.55,0.7265
2008,North America,Temperate,-5.03,245500334.56,8121.74,5327.98,91.81,32.24,0.9126
2018,North America,Tropical,28.33,881604333.77,2265.36,2929.98,97.26,42.9,0.7305
2011,North America,Polar,38.31,416497740.64,7188.17,6561.22,25.63,14.56,0.8287
2008,Europe,Temperate,38.5,720613035.8,9435.82,6419.78,30.07,54.75,0.746
2006,Africa,Arid,33.25,918366750.34,5301.33,2102.77,57.31,53.38,0.6307
2013,South America,Cold,20.04,408632421.14,5423.29,313.67,18.21,63.72,0.427
2019,North America,Arid,25.04,192086093.67,4637.28,4341.89,49.28,5.55,0.9021
2018,Europe,Cold,4.26,517600812.93,3292.61,5699.42,62.36,19.08,0.651
2014,Europe,Temperate,21.54,908175603.37,4782.77,8767.29,56.99,58.77,0.3984
2015,Europe,Tropical,12.78,804570039.72,6047.93,9282.89,39.78,48.59,0.0835
2020,Africa,Arid,14.1,66764013.52,9860.62,5292.76,58.82,63.14,0.2907
2004,South America,Arid,27.89,692880227.28,9380.76,7540.5,96.29,8.72,0.5437
2002,Africa,Arid,4.1,572325624.94,8628.42,4398.64,28.54,43.8,0.2756
2011,Asia,Cold,5.9,907555713.17,8896.85,7463.36,68.93,41.99,0.2212
2024,Europe,Temperate,36.23,123358935.43,4705.1,2055.97,13.91,7.32,0.5274
2019,Asia,Arid,-7.19,534502077.09,6591.57,3716.94,15.98,38.38,0.1698
2020,North America,Arid,14.28,879583230.82,8955.91,6345.94,59.66,44.62,0.8004
2003,North America,Tropical,35.64,410613762.96,3959.86,191.4,19.44,17.43,0.4844
2020,Africa,Tropical,20.52,482512922.82,9619.54,7227.39,12.01,22.77,0.5739
2022,South America,Temperate,17.32,71390216.99,4187.07,8357.0,25.44,46.62,0.1474
2015,Asia,Temperate,2.49,278865496.81,6030.77,3997.43,60.84,35.44,0.3246
2024,South America,Polar,7.16,325182142.52,7112.56,4484.94,73.3,60.77,0.4101
2006,Africa,Tropical,32.6,945177326.3,9508.39,8514.31,28.22,27.25,0.8082
2012,North America,Polar,17.96,283384693.18,2483.93,7758.79,70.14,22.33,0.7702
2020,South America,Cold,15.74,461407866.53,7474.0,2888.61,26.42,69.02,0.223
2009,South America,Polar,-5.02,671633119.14,5232.12,3246.52,65.21,64.22,0.6162
2006,North America,Arid,-9.2,163021189.04,2722.14,6791.99,47.08,6.88,0.2435
